date,France_new_cases,Germany_new_cases
2020/1/27,0,1
2020/1/28,1,3
2020/1/29,1,0
2020/1/30,0,0
2020/1/31,0,1
2020/2/1,1,3
2020/2/2,0,2
2020/2/3,0,2
2020/2/4,0,0
2020/2/5,0,0
2020/2/6,0,0
2020/2/7,0,1
2020/2/8,5,0
2020/2/9,0,1
2020/2/10,0,0
2020/2/11,0,2
2020/2/12,0,0
2020/2/13,0,0
2020/2/14,0,0
2020/2/15,1,0
2020/2/16,0,0
2020/2/17,0,0
2020/2/18,0,0
2020/2/19,0,0
2020/2/20,0,0
2020/2/21,0,0
2020/2/22,0,0
2020/2/23,0,0
2020/2/24,0,0
2020/2/25,2,1
2020/2/26,4,10
2020/2/27,20,19
2020/2/28,19,2
2020/2/29,43,31
2020/3/1,30,51
2020/3/2,61,29
2020/3/3,21,37
2020/3/4,76,66
2020/3/5,138,220
2020/3/6,190,188
2020/3/7,332,129
2020/3/8,177,241
2020/3/9,286,136
2020/3/10,372,281
2020/3/11,510,451
2020/3/12,0,170
2020/3/13,1385,1597
2020/3/14,815,910
2020/3/15,36,1210
2020/3/16,2151,1477
2020/3/17,1032,1985
2020/3/18,1409,3070
2020/3/19,1841,2993
2020/3/20,1783,4528
2020/3/21,1699,2365
2020/3/22,2295,2660
2020/3/23,3355,4183
2020/3/24,2243,3930
2020/3/25,2955,4337
2020/3/26,3916,6615
2020/3/27,3792,6933
2020/3/28,4648,6824
2020/3/29,2603,4400
2020/3/30,4343,4790
2020/3/31,7635,4923
2020/4/1,4843,6064
2020/4/2,2100,6922
2020/4/3,5223,6365
2020/4/4,5223,4933
2020/4/5,846,4031
2020/4/6,2658,3251
2020/4/7,2658,4289
2020/4/8,3851,5633
2020/4/9,3784,4885
2020/4/10,1566,3990
2020/4/11,1445,2737
2020/4/12,50745,2946
2020/4/13,3139,2218
2020/4/14,17448,1287
2020/4/15,3207,3394
2020/4/16,12578,2945
2020/4/17,1891,3699
2020/4/18,3804,1945
2020/4/19,1094,1842
2020/4/20,2446,1881
2020/4/21,2666,1226
2020/4/22,1798,2357
2020/4/23,-1709,2481
2020/4/24,2811,1870
2020/4/25,1678,1514
2020/4/26,633,1257
2020/4/27,3686,988
2020/4/28,3131,1154
2020/4/29,-1455,1627
2020/4/30,1218,1470
2020/5/1,526,1068
2020/5/2,792,890
2020/5/3,361,697
2020/5/4,562,488
2020/5/5,1115,855
2020/5/6,4136,1155
2020/5/7,741,1268
2020/5/8,531,1158
2020/5/9,528,736
2020/5/10,249,555
2020/5/11,315,697
2020/5/12,753,595
2020/5/13,521,927
2020/5/14,642,380
2020/5/15,513,755
2020/5/16,415,519
2020/5/17,140,617
2020/5/18,444,182
2020/5/19,501,1227
2020/5/20,481,695
2020/5/21,267,548
2020/5/22,756,689
2020/5/23,546,276
2020/5/24,-439,342
2020/5/25,325,272
2020/5/26,255,600
2020/5/27,173,324
2020/5/28,3342,672
2020/5/29,594,726
2020/5/30,1794,267
2020/5/31,232,221
2020/6/1,406,184
2020/6/2,-647,285
2020/6/3,-3226,242
2020/6/4,4360,351
2020/6/5,581,452
2020/6/6,572,526
2020/6/7,341,300
2020/6/8,274,359
2020/6/9,552,397
2020/6/10,625,16
2020/6/11,364,169
2020/6/12,801,535
2020/6/13,497,41
2020/6/14,390,251
2020/6/15,136,164
2020/6/16,663,570
2020/6/17,489,352
2020/6/18,586,1213
2020/6/19,787,482
2020/6/20,619,371
2020/6/21,343,602
2020/6/22,142,496
2020/6/23,698,712
2020/6/24,268,391
2020/6/25,255,500
2020/6/26,1263,665
2020/6/27,448,422
2020/6/28,-409,235
2020/6/29,645,349
2020/6/30,442,376
2020/7/1,990,475
2020/7/2,539,477
2020/7/3,539,410
2020/7/4,358,418
2020/7/5,12,325
2020/7/6,1018,541
2020/7/7,454,279
2020/7/8,822,356
2020/7/9,444,302
2020/7/10,714,331
2020/7/11,251,377
2020/7/12,16,210
2020/7/13,1423,261
2020/7/14,62,276
2020/7/15,726,434
2020/7/16,569,560
2020/7/17,824,595
2020/7/18,165,381
2020/7/19,4,309
2020/7/20,1911,590
2020/7/21,595,392
2020/7/22,921,559
2020/7/23,1236,605
2020/7/24,1091,742
2020/7/25,84,655
2020/7/26,4,389
2020/7/27,2488,445
2020/7/28,564,595
2020/7/29,1470,839
2020/7/30,1394,989
2020/7/31,1303,864
2020/8/1,62,606
2020/8/2,3,215
2020/8/3,3361,891
2020/8/4,969,717
2020/8/5,1708,1285
2020/8/6,1601,926
2020/8/7,2382,1157
2020/8/8,69,707
2020/8/9,6,385
2020/8/10,4717,1220
2020/8/11,1408,1032
2020/8/12,2577,1319
2020/8/13,2670,1422
2020/8/14,2887,1510
2020/8/15,3210,697
2020/8/16,3020,519
2020/8/17,590,1693
2020/8/18,2118,1420
2020/8/19,3787,1586
2020/8/20,4800,1586
2020/8/21,4954,1737
2020/8/22,3474,832
2020/8/23,4735,633
2020/8/24,1976,1628
2020/8/25,3432,1461
2020/8/26,244,1427
2020/8/27,11226,1561
2020/8/28,7558,1555
